valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
bjv277el.cal-water.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-08 01:38:56 UTC
cal-water.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-08 01:36:31 UTC
uepkhpbf.zen-sulin.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-08 01:08:05 UTC
ntypt547.zen-zensulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-08 03:08:12 UTC
zen-zensulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-08 03:07:18 UTC
rqtcnh3v.web-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-08 02:22:14 UTC
web-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-08 02:16:04 UTC
wuakewmq.agriturismo-di-toscana.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-08 01:27:48 UTC
agriturismo-di-toscana.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-08 01:26:26 UTC
rega.v-panel.asia,domain,Vidar,media,55,100,,ThreatFox,2026-09-07 23:34:18 UTC
lvsn8zv8.zen--sulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 23:09:51 UTC
winterberrycanto.co,domain,SmartApeSG,media,55,100,,ThreatFox,2026-09-07 22:37:46 UTC
0wtobgd6.venoplus.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 22:05:58 UTC
i7un01w0.xnburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 21:08:38 UTC
xnburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 21:05:35 UTC
0hb2vcul.xen-burn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 20:38:33 UTC
9nhat9gp.xenburn.ca,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 20:28:22 UTC
xenburn.ca,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 20:26:28 UTC
badger-kuis-vnex5.life,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 19:25:49 UTC
254045mx.xenburn.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 19:08:20 UTC
xenburn.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 19:05:01 UTC
opsbyte3368.com,domain,KongTuke,media,55,100,,ThreatFox,2026-09-07 18:15:36 UTC
uvgih0or.us-us-us-zensulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 17:56:32 UTC
us-us-us-zensulin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 17:55:12 UTC
bvx8r8x3.xenburnn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 17:07:24 UTC
xenburnn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 17:04:40 UTC
healthyfuturestx.org,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 16:55:17 UTC
ship-js.veecargoexpresscouriers.com,domain,FAKEUPDATES,media,55,100,,ThreatFox,2026-09-07 15:58:52 UTC
schamserger.top,domain,KongTuke,media,55,100,,ThreatFox,2026-09-07 15:58:51 UTC
mesh.officialx-token.com,domain,FAKEUPDATES,media,55,100,,ThreatFox,2026-09-07 15:58:50 UTC
nyxis.lol,domain,Mirai,media,55,100,,ThreatFox,2026-09-07 15:58:04 UTC
f4nvsexe.xen--burn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 15:37:13 UTC
xen--burn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 15:36:05 UTC
mvdfcfa6.xenbrn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 15:27:18 UTC
xenbrn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 15:25:47 UTC
xr10z4n2.usen-flashburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 15:06:51 UTC
greatamericangriller.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 14:02:12 UTC
sve6lmhf.us-us-us-mindvault.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 13:45:48 UTC
us-us-us-mindvault.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 13:44:56 UTC
vye296vc.us-en-morningcoffeeritual.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 13:05:29 UTC
rock.betweenthebunz.co,domain,IClickFix,media,55,100,,ThreatFox,2026-09-07 12:37:08 UTC
register.v-panel.asia,domain,Vidar,media,55,100,,ThreatFox,2026-09-07 11:26:45 UTC
espai-obert.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 11:23:14 UTC
beemfence.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 11:21:42 UTC
akronhomeandflowershow.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 11:20:10 UTC
