valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
f4a72600a3735c2a4d843875ea61bbb6f935a1af51a81f2fbc992ce11ba94afc,filehash-sha256,Threat Snapshot: Djinn Stealer,baja,25,,,OTX,2026-09-10T12:49:59
5b4fbe0658ff76f042c3cc2dfe3d1a3eda963e435a24dfc868cb583bde8c7b91,filehash-sha256,Malicious Chrome and Firefox Extensions Steal Crypto Traders' Session and Wallet Data,baja,25,,,OTX,2026-09-10T02:31:35
08387ff35cc7854ddea1e2106b1150e9fe80646541c95c5a7121b77c9bc0228e,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
092788c6598784d91b411dde40f274c73448f6c803f57c8d0ca85a22d0516e19,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
243de5404091bcd920041cf2f4dd22e80f2c2922022854991d2b5e0ac78f2fee,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
4cd2a9d574febb1545966561d598c57194da47b09f9175dd888e6aa5d267f91c,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
5cc0eee4a1d8dbb737838e25f1e9ae37170a54ae757c431b5d6422904538bde3,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
6106fa15dc10764114d039f26a96d793c559f04b080a27af9f2f27c2eeb391e0,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
6b5c50c2f88861943426b054fe3ff42f59ffd29d3dcf3cb1bb6c785b12077ee3,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
844d80da0d8690586f156e1793cde12b5e93a24540e511d4ddb71489cf5a8796,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
b1adeecb0f2df0d66298a4f3f9a866ddf4c83731892a13ec9b97d405fd50d7b9,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
b3d73d0a9d26bde03be3511e7293bf67c907fb00d5b6bb8c189a8f37b15987fe,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
ca996a2dea2529a1e94d7db141259f4fc700b9ab30da36d8b479b81a9b90973b,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
eb4a6a99019f5c5e35f5f3a86867ad65ff1e7338d4937544313b448172988f86,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
f03e9c6b1923556269004db628e23d373e11224304e136612a61b1e7ae1b7f1f,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
f5eebbce3769c8880646c6e8c26d86fbd00e21e193024295641d82c40822adcf,filehash-sha256,Death by a Thousand PaperCuts: AI-Driven Exploitation at Scale,baja,25,,,OTX,2026-09-10T02:31:34
918fa52ae45ed60ba7cc8bdc99c3cbe9ab92e0375ec31fc05d0d4513be11c593,filehash-sha256,CaptiveCrunch: Midnight Blizzard Weaponizes Hotel Wi-Fi Captive Portals to Steal Microsoft 365 Credentials,baja,25,,,OTX,2026-08-12T02:31:33
be99857449d2856dd5a84e21c8a3d5e0e01456adb44062ddec5a6b4970d8d42c,filehash-sha256,CaptiveCrunch: Midnight Blizzard Weaponizes Hotel Wi-Fi Captive Portals to Steal Microsoft 365 Credentials,baja,25,,,OTX,2026-08-12T02:31:33
c6f4df18cb880500f3921a179c3a3766,filehash-md5,CaptiveCrunch: Midnight Blizzard Weaponizes Hotel Wi-Fi Captive Portals to Steal Microsoft 365 Credentials,baja,25,,,OTX,2026-08-12T02:31:33
fba867df17721879df9d8dcca68d6900,filehash-md5,CaptiveCrunch: Midnight Blizzard Weaponizes Hotel Wi-Fi Captive Portals to Steal Microsoft 365 Credentials,baja,25,,,OTX,2026-08-12T02:31:33
510af9bb00ff5d4a6856b1291af55db9f6e13551,filehash-sha1,CaptiveCrunch: Midnight Blizzard Weaponizes Hotel Wi-Fi Captive Portals to Steal Microsoft 365 Credentials,baja,25,,,OTX,2026-08-12T02:31:33
937e75e0e1c82eecab69e9b8ad481bd7e0845308,filehash-sha1,CaptiveCrunch: Midnight Blizzard Weaponizes Hotel Wi-Fi Captive Portals to Steal Microsoft 365 Credentials,baja,25,,,OTX,2026-08-12T02:31:33
c0b4a4af8a3a8c4b113d7f203fcf480cfac79160102490daf287748634b9ce23,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
8d921bdd1f5bc8c03209a5dfacfd9ed313497ac2e3f1b4a2000f4c474a464904,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
3d7411e2e445a2210dbbf061f3e8e3dd3476a4fc5d4a2135dcceb0bc705776bf,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
cfd9c0bcc89ebc68aae889b9b49bc8290c3764bce5f2c9ac8b5ba0ba58e9bf61,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
590b04e35fc0b3dcd9dabe82f2e96d4d1e0fccc598911cf80f8255232ee75fcb,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
ecde892dbc28af620ba8e311fa9dd4c66521c7fe95e6aadacc7cd9a5bb57d32d,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
cfa3900cefb447d89a7498224f2ecafa65b190336934811e6c1d4196d9b92452,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
0bf8f52b28291edc505a64962e6ce04387a9784fc5b18aeff53629adb1f72f56,filehash-sha256,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
0d6b27a00e79e8138b3d93b2c56b24d7,filehash-md5,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
a9c499afa0278279acd80597cbfc1e47,filehash-md5,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
5f7f11caf5992f370ed9657ff898b96fa4fe17ba,filehash-sha1,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
e4571f7b27285ddc0e39d005a9f1109a9335820d,filehash-sha1,Fake CCleaner installs GhostDesk Chrome spyware,baja,25,,,OTX,2026-08-11T21:01:32
0e4541c3153ec5ed01497f19cf4f63d0,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
0e79996d9483d1e44fea32b0a48c2c19,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
129462164a7d52e9ea8560b60f0412c5,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
12d4e8f5295f2ef7e0f9bfc0f4830939,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
2bb75c20e778eb5c416965bd4d4259b1,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
43f435c3c437bc879a2d7d4634f43494,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
489f43be558b2679284ceabed7adc4f3,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
4d27b4eb1c5dbb3d8160f29b8119523e,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
748c9f8cb1065000616204935f96207f,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
7f267006cac10f341c356b62fe493527,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
8fcc3e4ccbf1725d9989fb464abf3561,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
aee9642b45b099cb7f3053b9b680b425,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
b348642146ea34771e5785c5857950f5,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
b3a6fee3307f1c26841fd5c603e2b013,filehash-md5,PhantomCore and PhantomGraph backdoors delivered via an unpatched TrueConf server,baja,25,,,OTX,2026-08-11T15:24:18
