cve,vendor,product,name,date_added,ransomware
CVE-2026-93952,Arista,VeloCloud Orchestrator,Arista VeloCloud Orchestrator Improper Input Validation Vulnerability,2026-09-22,Unknown
CVE-2026-94127,F5,BIG-IP APM,F5 BIG-IP APM Heap-based Buffer Overflow Vulnerability,2026-09-22,Unknown
CVE-2026-93616,Check Point,Multiple Products,Check Point Multiple Products Path Traversal Vulnerability,2026-09-22,Unknown
CVE-2026-85102,Check Point,Multiple Products,Check Point Multiple Products Improper Certificate Validation Vulnerability,2026-09-22,Unknown
CVE-2026-7273,Zyxel,GS1900 Series Switches,Zyxel GS1900 Series Switches Stack-Based Buffer Overflow Vulnerability,2026-09-21,Unknown
CVE-2025-39964,Linux,Kernel,Linux Kernel Race Condition Vulnerability,2026-09-18,Unknown
CVE-2026-53266,Linux,Kernel,Linux Kernel Out-of-Bounds Write Vulnerability,2026-09-18,Unknown
CVE-2025-39682,Linux,Kernel,Linux Kernel Improper Check for Unusual or Exceptional Conditions Vulnerability,2026-09-18,Unknown
CVE-2026-58704,Google,Pixel,Google Pixel Improper Authorization Vulnerability,2026-09-16,Unknown
CVE-2026-76460,Cisco,Identity Services Engine,Cisco Identity Services Engine Incorrect Use of Privileged APIs Vulnerability,2026-09-16,Unknown
CVE-2026-87886,Acronis,Backup,Acronis Backup Incorrect Default Permissions Vulnerability,2026-09-16,Unknown
CVE-2026-76461,Cisco,Secure Email Gateway,Cisco Secure Email Gateway SQL Injection Vulnerability,2026-09-14,Unknown
CVE-2026-84869,ConnectWise,ScreenConnect,ConnectWise ScreenConnect Improper Privilege Management and Missing Authorization Vulnerability,2026-09-11,Unknown
CVE-2026-42016,JFrog,Artifactory,JFrog Artifactory Incorrect Authorization Vulnerability,2026-09-11,Unknown
CVE-2026-42018,JFrog,Artifactory,JFrog Artifactory Improper Authentication Vulnerability,2026-09-11,Unknown
CVE-2026-85706,GitLab,Community Edition and Enterprise Edition,GitLab Community Edition and Enterprise Edition Path Traversal Vulnerability,2026-09-11,Unknown
CVE-2026-86060,MikroTik,RouterOS,MikroTik RouterOS Improper Neutralization of Argument Delimiters in a Command Vulnerability,2026-09-10,Unknown
CVE-2026-67277,MikroTik,RouterOS,MikroTik RouterOS Missing Authentication for Critical Function Vulnerability,2026-09-10,Unknown
