valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
hqe8g423.shop-burnflow.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-22 03:06:21 UTC,0
rq5ic3bf.usa-lipogummy.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-21 12:02:29 UTC,0
kx430z0d.lisapierce-mft.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 03:34:51 UTC,0
j8y10lg7.oralsurgeontintonfalls.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 03:32:58 UTC,0
oralsurgeontintonfalls.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 03:31:53 UTC,0
lisapierce-mft.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 03:31:10 UTC,0
vbpje3kh.burn--flow.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 02:15:28 UTC,0
qjnp08xe.rockunitedband.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 01:21:50 UTC,0
rockunitedband.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-22 01:21:00 UTC,0
vagabondbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-22 00:17:25 UTC,0
www.doullbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-22 00:17:25 UTC,0
www.lettersbookshop.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-22 00:17:25 UTC,0
qt8do7h1.qlaneturnstiles.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-21 23:21:17 UTC,0
yoauction.com,domain,MacSync,media,55,100,,ThreatFox,2026-09-21 22:38:31 UTC,0
zanderrealestate.com,domain,MacSync,media,55,100,,ThreatFox,2026-09-21 22:38:31 UTC,0
btcbblil.kkslot.info,domain,ClearFake,media,55,100,,ThreatFox,2026-09-21 22:29:31 UTC,0
az.hg77.org,domain,Vidar,media,55,100,,ThreatFox,2026-09-21 22:20:46 UTC,0
az.1betasia.org,domain,Vidar,media,55,100,,ThreatFox,2026-09-21 22:20:45 UTC,0
oklsb0jz.josephmichaelnh.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-21 22:04:52 UTC,0
wwl4llyw.usa--burnflow.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-21 22:04:47 UTC,0
js-static.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:51:17 UTC,0
www.stroudbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:19 UTC,0
www.thewrightcollection.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:19 UTC,0
www.barnerbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.chathambookseller.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.crossroadbookstore.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.gastonrenard.com.au,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.greensleevesbooks.co.uk,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.jlawton.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.manyhillsbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.midtownscholar.us,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.oddballbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.oldscrolls.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.puddletownbookshop.co.uk,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.rbookmark.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
www.robertsbookshop.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:18 UTC,0
navalandmaritimebooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
needleworkbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
rarechristianbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
readinghabit.com.au,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
readinkbooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
remnantbooks.org,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
renaissancebooks.co.nz,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
rudolfsteinerbookcentre.com.au,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
theridgebooks.com,domain,vSkimmer,media,55,100,,ThreatFox,2026-09-21 21:49:17 UTC,0
