valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
221.236.125.241,ip:port,Unknown malware,alta,75,100,CN,ThreatFox,2026-09-22 01:05:05 UTC,0
165.154.227.8,ip:port,XMRIG,alta,73,85,TW,ThreatFox,2026-09-21 07:10:53 UTC,1
165.154.162.74,ip:port,XMRIG,alta,73,85,US,ThreatFox,2026-09-21 07:10:53 UTC,1
106.12.70.210,ip:port,Payload ,alta,73,85,CN,ThreatFox,2026-09-21 07:10:52 UTC,1
176.65.139.206,ip:port,Mirai,alta,72,80,NL,ThreatFox,2026-09-21 09:19:39 UTC,1
95.220.193.183,ip:port,Payload ,alta,72,80,RU,ThreatFox,2026-09-21 07:10:52 UTC,1
79.36.29.167,ip:port,Payload ,alta,72,80,IT,ThreatFox,2026-09-21 07:10:52 UTC,1
46.151.182.67,ip:port,PureRAT,alta,71,75,DE,ThreatFox,2026-09-21 19:46:27 UTC,0
45.198.224.184,ip:port,Tsunami,alta,71,75,SE,ThreatFox,2026-09-21 07:10:37 UTC,1
149.56.206.68,ip:port,Mirai,media,69,75,BR,ThreatFox,2026-09-21 19:43:47 UTC,0
188.166.158.18,ip:port,Aisuru,media,69,100,GB,ThreatFox,2026-09-21 11:29:16 UTC,0
81.227.54.149,ip:port,Mirai,media,66,75,SE,ThreatFox,2026-09-22 01:17:07 UTC,0
101.201.109.2,ip:port,AdaptixC2,media,65,100,CN,ThreatFox,2026-09-21 17:05:09 UTC,0
45.227.253.132,ip:port,Cobalt Strike,media,65,75,BO,ThreatFox,2026-09-21 13:48:21 UTC,0
167.71.45.235,ip:port,Aisuru,media,64,100,DE,ThreatFox,2026-09-21 07:10:59 UTC,1
134.209.223.192,ip:port,Aisuru,media,62,100,US,ThreatFox,2026-09-22 03:54:36 UTC,0
178.128.167.82,ip:port,Aisuru,media,61,100,GB,ThreatFox,2026-09-21 07:10:37 UTC,1
36.69.157.49,ip:port,XMRIG,media,60,80,ID,ThreatFox,2026-09-21 07:10:51 UTC,1
91.92.241.149,ip:port,AsyncRAT,media,58,100,NL,ThreatFox,2026-09-22 04:05:06 UTC,0
113.228.85.214,ip:port,Mirai,media,57,75,CN,ThreatFox,2026-09-22 01:17:10 UTC,0
