valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
shadowmetric.buzz,domain,IClickFix,media,58,100,,ThreatFox,2026-09-06 14:33:52 UTC
qh88.es,domain,Remcos,media,57,75,,ThreatFox,2026-09-06 19:50:22 UTC
fallow-willow-diogdaiyn.xyz,domain,IClickFix,media,57,100,,ThreatFox,2026-09-06 14:33:52 UTC
explosiondance.nl,domain,ClearFake,media,56,90,,ThreatFox,2026-09-06 15:00:39 UTC
jdj3ssby.us-en-us-nervesoothe.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-06 14:36:51 UTC
oo1cjsjt.pura--boost.us,domain,ClearFake,media,56,100,,ThreatFox,2026-09-06 10:23:35 UTC
www.confrariacorporativa.com.br,domain,ClearFake,media,56,90,,ThreatFox,2026-09-06 10:08:40 UTC
bl0kfp6v.us-en-us-nervealive.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-06 09:33:05 UTC
tvdpamxr.us-usa-memorylift.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-06 09:23:54 UTC
zad672je.us-theeloncode.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-06 08:32:13 UTC
4zf0849k.www-genesisrevival.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 03:04:46 UTC
4st12ujt.us-thetrumptoken.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 01:13:35 UTC
s2a87q6s.www-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 01:03:50 UTC
xb7tz2o2.web-levium.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 00:35:21 UTC
web-levium.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 00:34:06 UTC
e8gr1jq7.pura--boost.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-07 00:24:58 UTC
troysolution.com.tr,domain,Unknown Stealer,media,55,100,,ThreatFox,2026-09-06 23:35:54 UTC
e0w3eaj4.us-us-us-geniusbrainsignal.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 23:02:30 UTC
us-us-us-geniusbrainsignal.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 23:00:04 UTC
8zpxu5ww.us-en-morningcoffeeritual.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 21:03:03 UTC
cldqkeez.us-us-us-echofree.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 21:00:04 UTC
us-us-us-echofree.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 20:59:24 UTC
bridge-schema.com,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 20:46:16 UTC
brewmacosterm.com,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 20:44:12 UTC
satinmaple4,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 20:44:12 UTC
anchorcoral10.com,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 20:44:12 UTC
global-stash.beer,domain,IClickFix,media,55,100,,ThreatFox,2026-09-06 20:23:08 UTC
trungnguyen.co.za,domain,Remcos,media,55,75,,ThreatFox,2026-09-06 19:50:23 UTC
kuncislothoki.co,domain,Remcos,media,55,75,,ThreatFox,2026-09-06 19:50:22 UTC
kuwin.wang,domain,Remcos,media,55,75,,ThreatFox,2026-09-06 19:50:22 UTC
ee155pkj.us-en-us--puraboost.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 19:34:04 UTC
coal.albaikmenuonline.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-06 19:28:50 UTC
8oimtzfy.us-trumpgoldenbadge.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 19:24:26 UTC
ygmyl768.us-us-us-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 18:59:38 UTC
us-us-us-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 18:59:23 UTC
ays.gamepazarin.com,domain,Unknown Stealer,media,55,100,,ThreatFox,2026-09-06 18:25:58 UTC
azm8xtz8.us-us-us-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 17:02:05 UTC
us-us-us-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 16:58:29 UTC
6ue3vviv.usen-flashburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 16:55:50 UTC
bapixkar1241.buzz,domain,IClickFix,media,55,100,,ThreatFox,2026-09-06 15:48:27 UTC
borrilkapi4422.icu,domain,IClickFix,media,55,100,,ThreatFox,2026-09-06 15:48:27 UTC
moss-froggaee.space,domain,IClickFix,media,55,100,,ThreatFox,2026-09-06 14:33:52 UTC
ochre-wren-satbais.life,domain,IClickFix,media,55,100,,ThreatFox,2026-09-06 14:33:52 UTC
v5gkuigj.us-trumplapelpin.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 14:25:22 UTC
gjtnia1n.us-en-us-xenburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 14:25:14 UTC
pnzruro7syvwvefx5mpo2fhzi4jftgquynsqf3vy5x3no57yp2iz4nyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 13:45:49 UTC
tvhm7xw756yscfixmoyr2aymgu4oan66ospp44vcykvgxmgyq3ua2vyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 13:45:48 UTC
uchhaxue34fz6r2nyrvatxynponoe7wy6ffhwwigpfbz5zgz24w5b6id.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 13:45:48 UTC
qxstd6r6zkzgoolpdqsdxf4lq6rhukgpngwrgbejyyioqy2kwbkxpiyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 13:45:47 UTC
ixxrzs3zo57qhbscszen2nvx6hgav5zrx6tjs7lq6unsphwcadeadlid.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 13:45:47 UTC
34enzhp4pkfrj5bnmede23wk2io2a44nj23ldwvv3stkaewurup7svad.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 13:45:46 UTC
ui19bdn2.us-neuro-vera.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 12:44:06 UTC
p0fc8ejw.us-en-us-synaboost.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 12:22:04 UTC
vlanp.ru,domain,Vidar,media,55,100,,ThreatFox,2026-09-06 11:48:36 UTC
6rxe52vn.us-us-us-biodentix.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 08:21:47 UTC
us-us-us-biodentix.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 08:19:52 UTC
robinfireman.xyz,domain,Unknown malware,media,55,100,,ThreatFox,2026-09-06 07:44:07 UTC
foldtrack.xyz,domain,Unknown Loader,media,55,100,,ThreatFox,2026-09-06 07:16:10 UTC
l1pi06sr.us-us-usa-lipovive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 06:22:56 UTC
us-us-usa-lipovive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 06:19:21 UTC
ydydzmni.us-en-us-morningcoffeeritual.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:34:18 UTC
bp6wvsu3.us-us-en-geniusbrainsignal.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:22:22 UTC
ehgbv6lm.us-thetrumptoken.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:22:15 UTC
ptsefif6.us-thetrumptoken.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:21:16 UTC
unnd8ttc.us-us-theeloncode.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:20:18 UTC
us-us-theeloncode.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:18:49 UTC
us-us-en-neurovera.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-06 04:09:22 UTC
onlyinark.fewclient.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:29:25 UTC
mantodeenjaeger.info,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:29:24 UTC
mcs.co.mz,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:29:24 UTC
mariachiselitebogota.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:29:24 UTC
matzoball.org,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:17:42 UTC
martistery.pk,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:17:42 UTC
www.marsana.es,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:17:42 UTC
www.mariebeltrami.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:17:42 UTC
maryolanieto.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:07:10 UTC
maryberryfiberart.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:06:40 UTC
www.marcusolausson.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:05:09 UTC
karmatechnical.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 03:04:39 UTC
www.bierebel.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:24:32 UTC
lucasfrancaadvogados.com.br,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:24:32 UTC
lunallenatravel.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:31 UTC
maitrikala.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:31 UTC
www.maison-durable.pro,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:30 UTC
mail.blueprintexecutives.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:30 UTC
www.maison-bulle-minzier.fr,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:30 UTC
makkahtimezone.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:30 UTC
lotania.co.uk,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:14:29 UTC
nfu.jnk.mybluehost.me,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:04:28 UTC
lumeabedding.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:04:28 UTC
malviyacraft.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:04:28 UTC
luxedesignsmn.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 02:04:27 UTC
libertywritersnews.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:34:25 UTC
lenot.ca,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:24:24 UTC
logcargo.com.ar,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:24:23 UTC
www.linexgel.com.br,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:24:23 UTC
lintocommerce.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:24:23 UTC
lianymedia.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:14:21 UTC
www.le-journal-du-net.fr,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:14:21 UTC
www.le-monde.pro,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:14:21 UTC
logixcaresb.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:04:20 UTC
lina-welcome.de,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:04:20 UTC
llynkup.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:04:19 UTC
letstwende.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 01:04:18 UTC
valpa.ch,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 00:37:35 UTC
koria-sv.de,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 00:07:33 UTC
layana.cl,domain,ClearFake,media,54,90,,ThreatFox,2026-09-07 00:07:33 UTC
kmtconcept.com.ng,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:17:29 UTC
kanaloario.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:17:29 UTC
kktctemizlikhizmetleri.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:17:28 UTC
kochror.no,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:17:28 UTC
klimaschutzmanager.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:17:28 UTC
katiesdailies.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:07:27 UTC
kolb-handwerker-consulting.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:07:27 UTC
www.karenseed.co.uk,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:07:26 UTC
www.kennzeichendealer.de,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 23:07:26 UTC
kindeat.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 22:57:25 UTC
stainsteamerz.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 22:17:22 UTC
www.jillmarzion.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 22:17:21 UTC
instalacionesdeelectricidad.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 21:21:36 UTC
integrativemedicineconsortium.net,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 21:21:35 UTC
isletmebul.com.tr,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 21:11:34 UTC
itchy.fr,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 21:11:34 UTC
www.internetcasinolobby.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 21:01:32 UTC
ilovewithheart.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 20:31:30 UTC
ileolubami.org.br,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 20:21:29 UTC
www.icollagen.sk,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 20:21:28 UTC
hudovyu.sbs,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 20:11:27 UTC
healthysolid.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 19:51:25 UTC
herbertdwyer.com,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 19:11:22 UTC
www.gooisjeugdorkest.nl,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 18:21:04 UTC
greenlivingpharma.online,domain,ClearFake,media,54,90,,ThreatFox,2026-09-06 18:11:03 UTC
