valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
91e020c13cb97a6365135b53b0d0fe5f,filehash-md5,Equation of Compromise: Anatomy of a Live npm Supply-Chain Campaign,baja,25,,,OTX,2026-09-22T07:30:18
d3d6e819028346a0b973bd5dd371c468,filehash-md5,Equation of Compromise: Anatomy of a Live npm Supply-Chain Campaign,baja,25,,,OTX,2026-09-22T07:30:18
dc7257d09fab42eca2c354c32fec1938,filehash-md5,Equation of Compromise: Anatomy of a Live npm Supply-Chain Campaign,baja,25,,,OTX,2026-09-22T07:30:18
2d43d592630ad1e012da63ef7279f95dd4a8e94964e12ca2f996051875574fa6,filehash-sha256,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
16addb6524e5cf76f4114b0979f715ff,filehash-md5,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
91c3431e51158aa800a452222a2404d7b82631ea,filehash-sha1,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
37ee3afa9df9c7d65b780cf54e908a98b92c4a5b,filehash-sha1,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
03f13619a413dd1bd7ff8dd47687b3e9,filehash-md5,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
979048a749d8f28d877c7068b1b336ecd1e349869dfb1d7c68118f90e4099bc4,filehash-sha256,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
a2535f051c329131c107d14651ace793,filehash-md5,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
eb2a38a90d20475b00bdc285b89eb50eefd0b88e,filehash-sha1,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
1628bb03db87f67661349e169d73ee14ed490bdbf22abfbda08ccc9ebe237974,filehash-sha256,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
625a381981fc2d4c25c981d98b1d66bb2cf5da2dde2f590add0673a857d5b074,filehash-sha256,Vidar Adds Virtual Machine and Custom Stream Ciphers For String Obfuscation,baja,25,,,OTX,2026-09-21T16:45:51
b8810eae6ead0ec3a606300c5e3fe9c7af23f836719596e9519f73b4e1e7ad01,filehash-sha256,North Korea's Hangro Revisited,baja,25,,,OTX,2026-09-21T16:40:48
5a2f81451d6c921a7ab845b1856f67d71c76196cc34ace5ef7c7e8e471c3214b,filehash-sha256,North Korea's Hangro Revisited,baja,25,,,OTX,2026-09-21T16:40:48
94b50ace73cc03790678c73b867be129,filehash-md5,From Registry-Stored PowerShell to In-Memory Cryptocurrency Mining: A Multi-Stage Infection Chain,baja,25,,,OTX,2026-09-21T15:16:14
be860a15b7e5d44b0b3d67f598238fad,filehash-md5,From Registry-Stored PowerShell to In-Memory Cryptocurrency Mining: A Multi-Stage Infection Chain,baja,25,,,OTX,2026-09-21T15:16:14
c024189e1e7fa0ae6d24353367e8b98d,filehash-md5,From Registry-Stored PowerShell to In-Memory Cryptocurrency Mining: A Multi-Stage Infection Chain,baja,25,,,OTX,2026-09-21T15:16:14
ed276b2312f641b00f87fa18e85c48eb,filehash-md5,From Registry-Stored PowerShell to In-Memory Cryptocurrency Mining: A Multi-Stage Infection Chain,baja,25,,,OTX,2026-09-21T15:16:14
f1d2fdb7f3b699da69a050c5352a33c2,filehash-md5,From Registry-Stored PowerShell to In-Memory Cryptocurrency Mining: A Multi-Stage Infection Chain,baja,25,,,OTX,2026-09-21T15:16:14
f94de28bd66afc4679f546500db184d4,filehash-md5,From Registry-Stored PowerShell to In-Memory Cryptocurrency Mining: A Multi-Stage Infection Chain,baja,25,,,OTX,2026-09-21T15:16:14
