valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
46.151.182.67,ip:port,PureRAT,alta,74,75,DE,ThreatFox,2026-09-20 19:46:41 UTC
106.12.70.210,ip:port,Payload ,alta,73,85,CN,ThreatFox,2026-09-20 23:31:04 UTC
165.154.227.8,ip:port,XMRIG,alta,73,85,TW,ThreatFox,2026-09-20 23:31:02 UTC
165.154.162.74,ip:port,XMRIG,alta,73,85,US,ThreatFox,2026-09-20 23:31:02 UTC
81.70.21.163,ip:port,Cobalt Strike,alta,72,100,CN,ThreatFox,2026-09-21 00:05:05 UTC
95.220.193.183,ip:port,Payload ,alta,72,80,RU,ThreatFox,2026-09-20 23:31:03 UTC
79.36.29.167,ip:port,Payload ,alta,72,80,IT,ThreatFox,2026-09-20 23:31:03 UTC
185.218.86.24,ip:port,Unknown malware,media,69,50,HK,ThreatFox,2026-09-20 18:32:30 UTC
23.94.252.121,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:37 UTC
34.74.120.20,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:34 UTC
13.200.6.88,ip:port,Unknown malware,media,68,50,IN,ThreatFox,2026-09-20 18:32:33 UTC
93.118.32.68,ip:port,Unknown malware,media,68,50,FR,ThreatFox,2026-09-20 18:32:25 UTC
94.154.43.180,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-20 18:32:23 UTC
104.243.33.53,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:22 UTC
94.154.43.74,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-20 18:32:21 UTC
159.65.216.148,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:20 UTC
15.204.249.249,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:19 UTC
216.144.225.2,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:17 UTC
45.138.12.26,ip:port,Unknown malware,media,68,50,GB,ThreatFox,2026-09-20 18:32:16 UTC
136.116.35.245,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-20 18:32:12 UTC
94.154.43.125,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-20 18:32:11 UTC
45.138.12.10,ip:port,Unknown malware,media,68,50,GB,ThreatFox,2026-09-20 18:32:10 UTC
