cve,vendor,product,name,date_added,ransomware
CVE-2026-85046,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2026-09-04,Unknown
CVE-2026-59822,BerriAI,LiteLLM,BerriAI LiteLLM Improper Authentication Vulnerability,2026-09-02,Unknown
CVE-2026-48710,Kludex,Starlette,Kludex Starlette HTTP Request/Response Smuggling Vulnerability,2026-09-02,Unknown
CVE-2026-49869,Kestra,Kestra OSS,Kestra OSS OS Command Injection Vulnerability,2026-09-02,Unknown
CVE-2026-82329,JFrog,Artifactory,JFrog Artifactory Improper Authentication Vulnerability,2026-09-02,Unknown
CVE-2026-9586,Sangoma,Switchvox,Sangoma Switchvox SQL Injection Vulnerability,2026-09-02,Unknown
CVE-2026-83548,SonicWall,SMA1000 Appliances,SonicWall SMA1000 Appliances Server-Side Request Forgery Vulnerability,2026-09-02,Unknown
CVE-2026-83549,SonicWall,SMA1000 Appliances,SonicWall SMA1000 Appliances OS Command Injection Vulnerability,2026-09-02,Unknown
CVE-2026-82078,PaperCut,NG/MF,PaperCut NG/MF Unsafe Reflection Vulnerability,2026-08-31,Unknown
CVE-2026-81578,PaperCut,NG/MF,PaperCut NG/MF Missing Authentication for Critical Function Vulnerability,2026-08-31,Unknown
CVE-2023-49105,ownCloud,ownCloud,ownCloud Improper Authentication Vulnerability,2026-08-27,Unknown
CVE-2026-53362,Linux,Kernel,Linux Kernel Unspecified Vulnerability,2026-08-27,Unknown
CVE-2026-66384,JFrog,Artifactory,JFrog Artifactory Improper Limitation of a Pathname to a Restricted Directory Vulnerability,2026-08-27,Unknown
CVE-2021-23758,Ajax.NET Professional,Ajax.NET Professional,Ajax.NET Professional Deserialization of Untrusted Data Vulnerability,2026-08-26,Unknown
CVE-2015-3246,Red Hat,Libuser,Red Hat Libuser Race Condition Vulnerability,2026-08-26,Unknown
CVE-2015-5287,Red Hat,Automatic Bug Reporting Tool,Red Hat Automatic Bug Reporting Tool Privilege Escalation Vulnerability,2026-08-26,Unknown
CVE-2022-0995,Linux,Kernel,Linux Kernel Out-of-Bounds Write Vulnerability,2026-08-26,Unknown
CVE-2026-8452,Citrix,NetScaler ADC and NetScaler Gateway,Citrix NetScaler ADC and NetScaler Gateway Improper Restriction of Operations within the Bounds of a Memory Buffer Vulnerability,2026-08-26,Unknown
CVE-2019-1068,Microsoft,SQL Server,Microsoft SQL Server Remote Code Execution Vulnerability,2026-08-26,Unknown
CVE-2026-60004,Gitea,Gitea,Gitea Code Injection Vulnerability,2026-08-25,Unknown
