valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
img2.aixpirts.com,domain,FAKEUPDATES,media,56,100,,ThreatFox,2026-09-19 01:12:07 UTC,0
ma.zk89.net,domain,Vidar,media,56,100,,ThreatFox,2026-09-18 15:15:45 UTC,0
ma.199cuan.org,domain,Vidar,media,56,100,,ThreatFox,2026-09-18 15:10:45 UTC,0
kz.199cuan.org,domain,Vidar,media,56,100,,ThreatFox,2026-09-18 10:50:45 UTC,0
fvrfq4s8.us-slimsplitsmethod.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-18 09:48:17 UTC,1
s48bo9y4.en-en--enerflow.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-18 09:43:26 UTC,1
uxahadmx.kaarenorge.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-19 02:40:47 UTC,0
2gp421dm.en-us-en-smartwaterbox.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-19 02:30:26 UTC,0
en-us-en-smartwaterbox.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-19 02:29:31 UTC,0
00rr59n2.en-pegasus.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-19 02:08:06 UTC,0
qb51hxxp.burn--flow.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-19 00:02:33 UTC,0
okr768ai.theslimsplitsmethod.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 23:31:08 UTC,0
m2jml0yu.en-xenburn.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 22:13:18 UTC,0
c5kwvkoh.greenestreetchurch.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 22:05:19 UTC,0
vy2f0f2a.josephmichaelnh.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 21:39:28 UTC,0
blueprint-71.com,domain,AMOS,media,55,100,,ThreatFox,2026-09-18 21:02:57 UTC,0
lyric-8.com,domain,AMOS,media,55,100,,ThreatFox,2026-09-18 21:02:55 UTC,0
coral-weave-wren-veis.com,domain,IClickFix,media,55,100,,ThreatFox,2026-09-18 20:43:17 UTC,0
6poz7z6o.gnarcoticexoticz.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 20:04:57 UTC,0
ahJNo6F501Z6JD1NNAH9bc236ifFkePeDKzyvysHi.wsecurite.com,domain,MacSync,media,55,100,,ThreatFox,2026-09-18 19:11:21 UTC,0
bqcdtklw.slimsplitsmethod.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 18:29:46 UTC,0
slimsplitsmethod.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-18 18:27:30 UTC,0
tyyyy-50833.portmap.host,domain,XWorm,media,55,100,,ThreatFox,2026-09-18 18:21:49 UTC,0
jxjdhjdx-61930.portmap.host,domain,XWorm,media,55,100,,ThreatFox,2026-09-18 18:21:47 UTC,0
hb2grktsae.localto.net,domain,XWorm,media,55,100,,ThreatFox,2026-09-18 18:21:38 UTC,0
t2d2.ddns.net,domain,XWorm,media,55,100,,ThreatFox,2026-09-18 18:21:37 UTC,0
zogyjkdssr.localto.net,domain,XWorm,media,55,100,,ThreatFox,2026-09-18 18:21:34 UTC,0
8.tcp.cpolar.cn,domain,XWorm,media,55,100,,ThreatFox,2026-09-18 18:21:33 UTC,0
mb66.coupons,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:30 UTC,0
ga888.free,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:29 UTC,0
mb66a.me,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:28 UTC,0
789bet.doctor,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:27 UTC,0
8chicharrara.sa.com,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:26 UTC,0
ijdo-ydo.nl,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:25 UTC,0
fly88gg.st,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:24 UTC,0
sulebet.live,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:23 UTC,0
mb66.pizza,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:22 UTC,0
dafacodabac52.fit,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:21 UTC,0
mb663rd.com,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:20 UTC,0
nchmct.info,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:19 UTC,0
sc88b.bet,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:18 UTC,0
79king.to,domain,Quasar RAT,media,55,100,,ThreatFox,2026-09-18 18:20:17 UTC,0
u88bet.us,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:10 UTC,0
uu888.eu.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:10 UTC,0
xoso66v.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:10 UTC,0
123bcasino.us,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:09 UTC,0
23win.net.im,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:09 UTC,0
ee88.blog,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:09 UTC,0
go99com.blue,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:09 UTC,0
kuwin686.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:09 UTC,0
tg88vn.online,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:09 UTC,0
topcm88.net,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:05 UTC,0
vnf168.co,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:05 UTC,0
c168vip.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
ccm888.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
cm88.dev,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
cm88.tech,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
cm88asia.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
khietminhbakery.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
lwf168.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
new888k.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
ok9111.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
ok9a.co.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
ok9vip.club,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
sc88vi.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:04 UTC,0
c168nee.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:03 UTC,0
c168c.net,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:02 UTC,0
login.fly88-vip1.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:01 UTC,0
new88.health,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:01 UTC,0
open88.tours,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:01 UTC,0
sc88.actor,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:01 UTC,0
1f168.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:00 UTC,0
78winone.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:00 UTC,0
c2.spotmarkettoptan.com,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:00 UTC,0
cm88.host,domain,Remcos,media,55,100,,ThreatFox,2026-09-18 18:20:00 UTC,0
