valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
210.16.168.11,ip:port,Cobalt Strike,alta,75,100,CN,ThreatFox,2026-09-25 07:52:08 UTC,1
176.65.149.45,ip:port,Mirai,alta,72,80,NL,ThreatFox,2026-09-26 02:09:01 UTC,0
158.94.210.177,ip:port,AsyncRAT,media,57,75,NL,ThreatFox,2026-09-25 19:44:01 UTC,0
194.26.192.168,ip:port,Quasar RAT,media,56,75,NL,ThreatFox,2026-09-26 01:50:43 UTC,0
45.125.66.67,ip:port,Aisuru,media,56,100,LT,ThreatFox,2026-09-25 19:46:31 UTC,0
116.89.250.121,ip:port,VShell,media,55,100,HK,ThreatFox,2026-09-26 04:05:05 UTC,0
164.92.197.127,ip:port,Aisuru,media,55,100,DE,ThreatFox,2026-09-25 23:04:09 UTC,0
128.90.103.171,ip:port,Remcos,media,55,100,BR,ThreatFox,2026-09-25 20:56:05 UTC,0
45.148.10.165,ip:port,AdaptixC2,media,55,75,AD,ThreatFox,2026-09-25 20:20:40 UTC,0
201.7.16.231,ip:port,Unknown malware,media,55,100,IN,ThreatFox,2026-09-25 19:40:36 UTC,0
108.186.221.91,ip:port,Unknown malware,media,55,100,US,ThreatFox,2026-09-25 19:09:44 UTC,0
20.109.157.64,ip:port,Quasar RAT,media,55,100,US,ThreatFox,2026-09-25 19:05:08 UTC,0
91.92.47.99,ip:port,Cobalt Strike,media,55,100,NL,ThreatFox,2026-09-25 19:05:07 UTC,0
47.114.83.19,ip:port,Cobalt Strike,media,55,100,CN,ThreatFox,2026-09-25 19:05:06 UTC,0
2.25.246.239,ip:port,Remcos,media,55,100,US,ThreatFox,2026-09-25 18:19:47 UTC,0
203.202.232.21,ip:port,Remcos,media,55,100,TR,ThreatFox,2026-09-25 17:31:56 UTC,0
130.49.190.185,ip:port,Potassium,media,55,100,SE,ThreatFox,2026-09-25 16:56:08 UTC,0
212.192.14.31,ip:port,Potassium,media,55,100,RU,ThreatFox,2026-09-25 16:56:08 UTC,0
217.60.103.25,ip:port,Potassium,media,55,100,CH,ThreatFox,2026-09-25 16:56:08 UTC,0
45.95.233.131,ip:port,Potassium,media,55,100,FR,ThreatFox,2026-09-25 16:56:08 UTC,0
5.181.2.159,ip:port,Potassium,media,55,100,HR,ThreatFox,2026-09-25 16:56:08 UTC,0
89.185.82.37,ip:port,Potassium,media,55,100,MK,ThreatFox,2026-09-25 16:56:08 UTC,0
89.185.82.38,ip:port,Potassium,media,55,100,MK,ThreatFox,2026-09-25 16:56:08 UTC,0
89.185.82.39,ip:port,Potassium,media,55,100,MK,ThreatFox,2026-09-25 16:56:08 UTC,0
104.165.244.81,ip:port,Drifter,media,55,100,PL,ThreatFox,2026-09-25 16:52:20 UTC,0
138.124.251.63,ip:port,Drifter,media,55,100,FR,ThreatFox,2026-09-25 16:52:20 UTC,0
171.22.130.121,ip:port,Drifter,media,55,100,CY,ThreatFox,2026-09-25 16:52:20 UTC,0
213.108.3.84,ip:port,Drifter,media,55,100,US,ThreatFox,2026-09-25 16:52:20 UTC,0
45.133.73.56,ip:port,Drifter,media,55,100,HK,ThreatFox,2026-09-25 16:52:20 UTC,0
93.152.221.232,ip:port,Drifter,media,55,100,DE,ThreatFox,2026-09-25 16:52:20 UTC,0
128.90.123.244,ip:port,Remcos,media,55,100,BR,ThreatFox,2026-09-25 15:55:04 UTC,0
160.250.5.251,ip:port,AdaptixC2,media,55,100,VN,ThreatFox,2026-09-25 15:05:05 UTC,0
172.94.46.114,ip:port,Remcos,media,55,100,CA,ThreatFox,2026-09-25 14:10:53 UTC,0
15.204.253.8,ip:port,Remus,media,55,100,US,ThreatFox,2026-09-25 14:10:10 UTC,0
122.10.71.109,ip:port,Unknown malware,media,55,100,HK,ThreatFox,2026-09-25 14:05:06 UTC,0
20.90.116.54,ip:port,Havoc,media,55,100,GB,ThreatFox,2026-09-25 14:05:06 UTC,0
101.43.53.103,ip:port,Cobalt Strike,media,55,100,CN,ThreatFox,2026-09-25 13:05:08 UTC,0
93.127.131.161,ip:port,AsyncRAT,media,55,100,US,ThreatFox,2026-09-25 13:05:06 UTC,0
137.184.108.14,ip:port,Remus,media,55,100,US,ThreatFox,2026-09-25 12:30:12 UTC,0
216.9.224.130,ip:port,Remcos,media,55,100,US,ThreatFox,2026-09-25 12:10:19 UTC,0
206.123.132.73,ip:port,Remcos,media,55,100,US,ThreatFox,2026-09-25 11:47:17 UTC,0
137.184.203.169,ip:port,Aisuru,media,55,100,US,ThreatFox,2026-09-25 11:47:16 UTC,0
168.144.138.211,ip:port,Aisuru,media,55,100,SG,ThreatFox,2026-09-25 11:47:15 UTC,0
167.172.143.46,ip:port,Aisuru,media,55,100,US,ThreatFox,2026-09-25 11:47:14 UTC,0
188.166.232.100,ip:port,Aisuru,media,55,100,SG,ThreatFox,2026-09-25 11:47:12 UTC,0
209.38.236.109,ip:port,Aisuru,media,55,100,DE,ThreatFox,2026-09-25 11:47:12 UTC,0
47.109.48.152,ip:port,Cobalt Strike,media,55,100,CN,ThreatFox,2026-09-25 11:05:08 UTC,0
49.233.181.236,ip:port,Cobalt Strike,media,55,100,CN,ThreatFox,2026-09-25 10:05:24 UTC,1
161.248.179.92,ip:port,AsyncRAT,media,55,75,VN,ThreatFox,2026-09-25 09:44:10 UTC,1
104.243.248.63,ip:port,AsyncRAT,media,55,75,DE,ThreatFox,2026-09-25 09:43:17 UTC,1
39.109.126.185,ip:port,VShell,media,55,100,HK,ThreatFox,2026-09-25 09:05:06 UTC,1
81.70.21.248,ip:port,VShell,media,55,100,CN,ThreatFox,2026-09-25 09:05:06 UTC,1
122.10.71.108,ip:port,Unknown malware,media,55,100,HK,ThreatFox,2026-09-25 09:05:05 UTC,1
23.132.164.72,ip:port,AsyncRAT,media,55,100,DE,ThreatFox,2026-09-25 09:05:04 UTC,1
139.180.213.153,ip:port,AdaptixC2,media,55,100,SG,ThreatFox,2026-09-25 08:05:06 UTC,1
103.48.84.225,ip:port,AsyncRAT,media,55,100,VN,ThreatFox,2026-09-25 08:05:06 UTC,1
191.124.5.229,ip:port,Cobalt Strike,media,55,100,CL,ThreatFox,2026-09-25 07:52:18 UTC,1
1.12.59.176,ip:port,Cobalt Strike,media,55,100,CN,ThreatFox,2026-09-25 07:05:07 UTC,1
156.254.20.48,ip:port,Cobalt Strike,media,55,100,HK,ThreatFox,2026-09-25 07:05:07 UTC,1
23.27.143.19,ip:port,Cobalt Strike,media,55,100,US,ThreatFox,2026-09-25 07:05:05 UTC,1
128.90.103.193,ip:port,Remcos,media,55,100,BR,ThreatFox,2026-09-25 06:28:20 UTC,1
217.217.97.60,ip:port,Unknown malware,media,55,100,FR,ThreatFox,2026-09-25 06:28:14 UTC,1
43.156.187.96,ip:port,Remcos,media,55,100,SG,ThreatFox,2026-09-25 06:28:11 UTC,1
176.126.114.42,ip:port,Remcos,media,55,100,JP,ThreatFox,2026-09-25 06:28:10 UTC,1
